REGISTRY,YEAR,SEX,CANCER,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85+,N_UNK
80000200,1993,1, 31,16,0,0,0,0,2,2,2,4,2,0,1,3,0,0,0,0,0,0,0
80000200,1993,1, 32,10,0,0,0,0,1,2,2,2,0,0,1,2,0,0,0,0,0,0,0
80000200,1993,1, 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 34,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80000200,1993,1, 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 40,5,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 43,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
80000200,1993,1, 44,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
80000200,1993,1, 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 46,10,0,0,0,0,0,0,0,3,1,0,2,0,1,2,1,0,0,0,0
80000200,1993,1, 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 49,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1, 50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80000200,1993,1, 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 54,8,0,0,0,0,0,0,0,3,1,0,2,0,0,2,0,0,0,0,0
80000200,1993,1, 55,9,0,1,0,2,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0
80000200,1993,1, 56,5,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
80000200,1993,1, 57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80000200,1993,1, 58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
